Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,Hum,AllPrey,Bound,Post,Riv
110_05,0,0,0,0,0.17,1.72,-0.79,1,1.15,-0.99,-1.39,1.2,-1.16,-1.43,-0.17,1.14
110_06,0,0,0,0,1.01,1.39,-0.62,1.13,1.01,-0.45,-1.25,1.29,-0.65,-1.42,-0.01,1.13
110_07,0,0,0,0,0.61,1.65,-0.46,1.13,1.08,-0.36,-1.3,1.38,-0.65,-1.42,0.14,1.12
110_08,0,0,0,0,0.2,1.87,0.03,1.25,1.37,-0.27,-1.44,1.29,-0.14,-1.38,0.3,1.1
110_09,0,0,0,0,0.04,1.58,0.03,1.13,1.08,-0.81,-1.25,1.55,-0.39,-1.32,0.46,1.08
110_10,0,0,NA,NA,-0.25,1.28,-0.05,1,0.94,-0.9,-1.11,1.73,-0.65,-1.29,0.58,1.07
114_01,0,0,0,0,-0.85,-1.49,1.33,0.11,0.15,0.55,0.34,-0.69,1.39,1.17,1.41,-0.31
114_02,0,0,0,0,-0.9,-0.97,1.09,-0.02,0.15,0.1,0.24,-0.78,0.88,1.24,1.33,-0.3
114_03,0,0,1,1,-0.95,-0.9,0.93,-0.15,0.23,0.28,0.1,-0.87,0.88,1.3,1.24,-0.27
114_04,1,0,0,0,-1.09,-1.23,1.01,-0.15,0.3,0.46,-0.04,-0.96,0.88,1.37,1.25,-0.31
114_06,0,0,0,0,-0.32,-1.45,0.44,-0.4,-0.13,0.28,0.48,-1.05,0.63,1.28,0.39,0.15
114_07,0,0,0,0,0.65,-0.82,0.27,-0.4,0.15,0.73,-0.08,-1.14,0.37,1.27,0.24,0.2
114_08,0,0,0,0,-1.05,-0.97,1.74,0.36,0.08,-0.81,0.62,-0.69,1.39,0.97,0.64,0.17
114_09,0,0,0,0,-0.89,-1.23,1.33,0.23,-0.06,-0.72,0.71,-0.69,1.13,0.89,0.66,0.21
115_01,0,0,0,0,-1.06,-1.01,0.68,-0.4,0.15,0.19,0.15,-0.96,0.63,1.47,1.22,-0.31
115_02,0,0,0,1,-0.98,-0.56,0.27,-0.66,-0.06,-0.27,0.38,-0.96,0.12,1.53,1.12,-0.24
115_03,1,1,1,1,-0.49,-0.56,0.27,-0.66,0.23,-0.36,-0.04,-1.05,-0.14,1.58,1.03,-0.17
115_04,1,1,0,0,-0.12,-0.64,0.93,-0.27,-0.06,0.1,0.57,-1.05,0.88,1.62,0.91,-0.1
115_05,0,0,0,0,-0.89,-1.01,1.58,0.11,-0.06,-0.09,0.71,-1.14,1.39,1.66,0.81,-0.05
115_06,0,0,0,0,-0.99,-0.71,0.76,-0.4,0.15,-0.45,0.24,-1.14,0.37,1.76,0.94,-0.43
115_07,0,0,0,1,-0.9,-1.49,0.85,-0.27,-0.06,0.28,0.48,-1.14,0.88,1.69,0.83,-0.52
115_08,0,0,1,1,-0.7,-1.19,0.52,-0.4,0.08,0.37,0.2,-1.14,0.63,1.62,0.7,-0.6
116_01,1,1,1,0,2.03,-1.71,-0.22,-0.66,-0.2,0.1,0.48,-1.14,0.12,1.13,-0.32,-1.67
116_02,0,0,0,0,2.08,-1.38,-0.3,-0.66,-0.2,0.1,0.48,-1.14,0.12,1.21,-0.18,-1.59
116_03,0,0,0,0,1.87,-1.08,-0.13,-0.66,-0.13,0.28,0.34,-1.14,0.12,1.28,-0.03,-1.49
116_04,0,0,0,0,1.16,-0.6,0.11,-0.53,0.08,0.55,0.1,-1.14,0.37,1.35,0.13,-1.33
116_05,0,0,NA,NA,0.29,-0.79,0.03,-0.66,-0.13,0.73,0.15,-1.14,0.12,1.41,0.25,-1.2
116_06,0,0,0,0,-0.74,-1.23,0.93,-0.4,-1.63,1.09,1.74,-1.14,1.39,1.48,0.4,-1.03
116_07,0,0,0,0,-0.91,-0.75,1.66,0.11,-0.63,0.55,1.22,-1.14,1.9,1.55,0.52,-0.85
116_09,0,0,0,0,-0.93,-1.41,1.25,-0.02,0.01,0.28,0.57,-1.14,1.39,1.69,0.92,-0.58
